Entrez	symbol	score	cor
12974	Cs	2.47836346657506	0.934814412125367
21351	Taldo1	1.73067048528561	0.879475243525064
107029	Me2	1.29288378346525	0.83674624036621
14571	Gpd2	1.12980185453894	0.82228584738239
56451	Suclg1	0.858721393922913	0.807841684968603
70025	Acot7	0.941795041627363	0.803891997217809
14104	Fasn	0.626748241158029	0.791771493119105
14719	Got2	0.869010038902776	0.780991029806743
11566	Adss	0.839772973526882	0.776507405741171
72535	Aldh1b1	0.803358567621632	0.770794536691191
56421	Pfkp	0.681728488618648	0.750632835321588
21881	Tkt	0.0984484653268214	0.747956485234666
68801	Elovl5	0.661227125245171	0.747063914701167
17448	Mdh2	0.595761026178734	0.735321873297612
11898	Ass1	0.556257325099529	0.727974353474054
11363	Acadl	0.472725388485392	0.711759189911759
66646	Rpe	0.218825261640291	0.656294071085735
18293	Ogdh	0.202810100926169	0.652457382608079
229363	Gmps	0.110460342555747	0.642671066633989
11676	Aldoc	-0.00918679470794492	0.597444752641134
68263	Pdhb	-0.412515344102507	0.467598238663813
14583	Gfpt1	-0.754984782691018	0.32495448340214
