Entrez	symbol	score	cor
18746	Pkm	2.25289142308344	0.916078720629683
14433	Gapdh	1.74285240610123	0.889106692633945
21991	Tpi1	1.6272653787213	0.885106307298579
16828	Ldha	0.731719936769993	0.882324121171484
18648	Pgam1	1.54226778769738	0.8712483109292
18655	Pgk1	1.25570587023065	0.854149532194907
13806	Eno1	0.852742652166015	0.841826623572367
232449	Dera	0.589659347833744	0.796888786157616
11674	Aldoa	0.686531989154193	0.782738765629058
72157	Pgm2	0.6378247130331	0.757005103711311
18597	Pdha1	0.171789217619702	0.739644773661095
21881	Tkt	-0.0984484653268214	0.730156806245819
11431	Acp1	0.339501178965905	0.685921154303501
14751	Gpi1	-0.227933017992153	0.684489839514527
